lowest,volume,amount,avg_price,opening,date,closing,highest,quantity
832.5,90195.44455282,305,871.49318005,851.43626,2015-08-26,869.99998, 899.99999,103.49529591
249.0,2799.69077767,11,256.45322489,249.0,2013-06-12,265.0,275.0,10.9169646
259.0,2830.4067215,16,266.39814093,265.0,2013-06-13,269.0,269.0,10.624724
245.0,8694.71056926,35,255.42381815,267.0,2013-06-14,250.0,268.0,34.04032808
246.01,4481.40561236,8,256.87384526,250.0,2013-06-15,246.01,259.99,17.44593969
246.01,427.690102,14,256.22459981,246.01,2013-06-16,252.0,257.43,1.6692
252.0,3628.95858705,12,254.51892405,257.43,2013-06-17,254.96,257.43,14.2581091
246.11,7498.58647007,22,256.79024233,254.95,2013-06-18,263.0,263.0,29.20121264
251.01,1137.0853347,18,262.95669446,251.01,2013-06-19,260.0,264.98,4.32423041
260.00002,7253.13363568,28,267.50604165,262.99999,2013-06-20,269.0,269.0,27.11390588
250.22,4652.79623485,25,260.95801977,269.0,2013-06-21,268.0,269.0,17.82967329
261.833,1451.69342948,9,267.4784389,267.5,2013-06-22,267.25,267.5,5.42732878
251.02,366.06726424,6,262.46935139,267.249,2013-06-23,251.02,267.25,1.3947048
250.0101,10403.58800113,41,258.15884054,251.02,2013-06-24,267.25,267.25,40.29917387
250.03,5986.07380998,50,258.73722824,258.0,2013-06-25,268.4,268.89,23.13572674
252.5,6052.70505003,37,258.00745605,252.5,2013-06-26,264.84,265.0,23.45941913
253.021,9866.59889495,24,255.04154555,262.38,2013-06-27,259.0,262.38,38.68624178
246.58,7745.21876516,37,252.95431981,258.0,2013-06-28,255.0,258.0,30.6190413
221.01,8531.64349013,43,235.25217114,250.0,2013-06-29,230.0,255.0,36.26595006
220.0,2376.9597882,12,223.10213338,230.0,2013-06-30,246.99,249.89,10.65413294
202.0,10653.95434495,41,227.06336095,230.01,2013-07-01,233.9,253.98,46.92062295
200.03,10185.04915877,49,217.73262428,233.88,2013-07-02,230.0,233.88,46.77778166
190.01001,31459.8471308,106,225.74378572,229.79,2013-07-03,190.01001,268.49,139.36085563
185.0,44875.75154674,107,235.66593635,193.0,2013-07-04,257.6,299.02,190.42103514
200.01,67280.80049967,208,217.47551448,225.4677,2013-07-05,205.0,258.5,309.37184198
196.52,11919.25283116,52,203.75693797,208.0,2013-07-06,196.56,215.0,58.49740848
191.00001,12222.53089084,41,200.89551281,196.55,2013-07-07,202.0,215.0,60.84023839
197.1,16353.73023361,57,203.99638058,214.0,2013-07-08,197.1,214.0,80.16676662
196.5,14807.51302385,46,200.24347936,203.0,2013-07-09,197.0,211.84,73.94754162
196.1,25898.81644447,59,205.01103591,200.0,2013-07-10,208.99999,209.0,126.32888922
208.8,10152.66880486,43,211.72604208,208.99999,2013-07-11,214.97,217.9,47.95191326
218.00001,2513.23615131,23,223.56040616,220.0,2013-07-13,218.00001,229.85,11.2418661
217.00002,4486.28361619,22,222.44505465,218.00001,2013-07-14,217.00002,228.0,20.16805284
220.0,17550.34789511,50,227.33468522,224.89,2013-07-15,220.0,234.5,77.20048473
220.0,13715.94989858,73,225.49412864,233.99999,2013-07-16,227.89998,233.99999,60.82619526
220.09,48887.99787583,74,225.34306175,227.89998,2013-07-17,242.0,242.0,216.94920401
216.37,25851.08881661,85,220.5505026,239.88999,2013-07-18,220.1,239.89,117.21165226
220.11,15711.06968676,56,223.86417245,220.11,2013-07-19,223.0,227.94,70.18125998
220.11,10303.47000394,22,222.06747319,222.0,2013-07-20,220.11,224.98999,46.39792517
218.9,6594.3404417,15,221.30918024,220.2,2013-07-21,221.99,223.49,29.79695842
212.01,19910.38902096,45,216.7091814,221.99,2013-07-22,220.0,221.99,91.87607508
214.01,3458.50208568,17,218.68279743,214.01,2013-07-23,218.0,220.94,15.81515385
213.5,12682.16563483,19,219.04644898,214.11,2013-07-24,221.0,221.0,57.89715238
214.0,2544.95050181,11,220.50569373,214.0,2013-07-25,221.0,221.0,11.54142761
217.48,7880.38956298,40,220.89577926,221.0,2013-07-26,221.0,221.0,35.67469505
217.335,2387.34649488,21,218.05924826,218.0,2013-07-27,217.335,220.99999,10.94815521
218.0,3391.1672474,16,220.92181936,218.0,2013-07-28,221.0,221.0,15.3500784
221.0,6199.5847168,36,225.64441997,221.0,2013-07-29,230.0,230.0,27.47501896
225.8,41406.73493704,75,238.92935349,225.8,2013-07-30,232.0,246.0,173.30116343
230.0,10596.18095642,48,235.26018249,240.98999,2013-07-31,238.49,240.98999,45.04026497
236.0,14457.42736851,37,238.00498278,238.49,2013-08-01,239.46,240.0,60.7442214
236.0,23192.72600255,63,240.33766258,236.01,2013-08-02,261.0,261.0,96.50058902
231.99,5013.80662975,22,236.48781747,254.98999,2013-08-03,235.00001,254.98999,21.20112014
232.0,1372.38941042,11,234.86300576,235.00001,2013-08-04,234.5,239.29998,5.84336135
234.50001,14615.83775443,35,239.47602331,234.50001,2013-08-05,235.7,243.49,61.0325725
226.0,14050.69851981,40,234.37002627,237.0,2013-08-06,237.9799,239.99999,59.95091925
228.10002,3788.20229935,17,232.02206076,228.10002,2013-08-07,237.77989,237.77999,16.32690567
225.0005,9379.03776042,23,232.14200368,230.11,2013-08-08,235.99979,235.99979,40.40215735
220.0,10386.89593913,32,221.10845359,225.0005,2013-08-09,220.0,230.0,46.97647589
217.9,2263.57354844,11,218.09588659,227.89999,2013-08-10,217.9,227.89999,10.37879982
212.50001,330.16235786,6,219.81428094,220.0,2013-08-11,212.50001,225.99998,1.50200595
228.0,21486.16893065,35,232.6697702,228.0,2013-08-13,239.9,239.99,92.34619913
230.11,8867.03261528,53,246.51283208,230.11,2013-08-14,249.959,249.99,35.96986226
244.0,32771.80811258,55,249.09627897,249.0,2013-08-15,246.0,254.98,131.56281679
246.0,10817.85404836,25,247.10147032,246.0,2013-08-16,247.97999,249.49989,43.77899506
245.00001,2251.27175733,11,247.99077555,245.00001,2013-08-17,249.0,249.0,9.07804636
245.5,24.55498996,2,245.50070126,245.5,2013-08-18,249.0,249.0,0.10002004
249.5,21415.78023977,49,263.52793692,249.5,2013-08-19,274.6899,274.79,81.26569232
